"","struct.summ.site_unique","struct.summ.site_location_name","struct.summ.site_location_visit_id","struct.summ.phenology_comment","struct.summ.upper_1_dominant","struct.summ.upper_2_dominant","struct.summ.upper_3_dominant","struct.summ.mid_1_dominant","struct.summ.mid_2_dominant","struct.summ.mid_3_dominant","struct.summ.ground_1_dominant","struct.summ.ground_2_dominant","struct.summ.ground_3_dominant","struct.summ.description","struct.summ.mass_flowering_event"
"542","VCAAUA0014-58571","VCAAUA0014",58571,"NC","None","None","None","None","None","None","VCA007625","VCA007797","VCA007583","Poa costiniana low grassland with Poa fawcettiae to a  Hovea montana low open heathland with a diverse suite of annual forbs most notably Asperula gunnii.",FALSE
"543","SATFLB0024-58713","SATFLB0024",58713,"NC","None","None","None","None","None","None","SAT006961","SAT006623","SAT006955","Maireana pyramidata low sparse chenopod shrubland with dried off Carrichtera annua in ground stratum. Ptilotus obovatus, Sclerolaena sp. and Atriplex sp. present. Some emergent Acacia victoriae also present.              



",FALSE
"544","SATFLB0024-53555","SATFLB0024",53555,"Carrichtera annua flowering and Maireana species all have fruit.","","","","SAT  001994","","","AUG  000026","","","Maireana pyramidata low sparse chenopod shrubland with Carrichtera annua dominating in ground stratum.",FALSE
"545","QDABBS0002-58703","QDABBS0002",58703,"NC","None","None","None","None","None","None","QDA024155","QDA024143","QDA024135","Dichanthium sp. grassland with Einadia and scattered Common sedge, convolvulus and Slender leaved grass.",FALSE
"546","QDACYP0012-58597","QDACYP0012",58597,"NC","QDA012665","QDA012729","QDA012651","None","None","None","QDA012545","None","None","Vine thicket dominated by Margaritaria dubium- traceyi, Croton arnhemicus, Wrightia laevis, Gardenia scabrella and Memecylon pauciflorum. Sparse mid and ground layer, some forbs- Pseuderanthemum variabile, Dicliptera ciliata and Hypoestes floribunda.
",FALSE
"547","NSAMDD0031-58572","NSAMDD0031",58572,"Dry- vegetation response is dry. Fruit on Melaleuca and Eucalyptus but all of the forbs and grasses have dried out. No Fruit on Dodonaea sp.","NSA013943","NSA014049","-1","NSA013929","NSA013927","NSA013937","-1","-1","-1","Eucalyptus intertexta mid mallee woodland with emergent Callitris glaucophylla and Alectryon oleifolius subsp. elongatus  and a single large Brachychiton populneus subsp. trilobus to a diverse mid open shrubland dominated by  Melaleuca uncinata, Eremophila sturtii, Dodonaea sp., Senna artemisioides subsp. X petiolaris, and Alectryon oleifolius subsp. elongatus. Ground layer is sparse- annuals forbs and grasses which are very dry and have been eaten out.",FALSE
"548","WAAMUR0004-58813","WAAMUR0004",58813,"NC","None","None","None","WAA020985","WAA021128","WAA021025","WAA021392","WAA021043","WAA021055","Acacia aptaneura tall sparse shrubland to low woodland with isolated shrubs of Acacia cuthbertsonii subsp. cuthbertsonii, Senna artemisioides subsp. helmsii, Acacia tetragonophylla and Eremophila galeata.  The ground layer is a mix of forbs and grasses dominated by Eragrostis pergracilis and Calandrinia creethae with Eriachne pulchella subsp. pulchella and Calandrinia ptychosperma.",TRUE
"549","SATFLB0014-58667","SATFLB0014",58667,"NC","SAT005636","SAT005588","SAT005704","SAT005564","SAT005650","SAT005694","SAT005580","SAT005672","SAT005576","Eucalyptus odorata / Allocasuarina verticillata mixed low woodland with Eucalyptus goniocalyx .  A mid layer dominated by Xanthorrhoea quadrangulata with Exocarpos cupressiformis, Spyridium parvifolium and Cassinia complanata. A ground layer of Cheilanthes austrotenuifolia, Arthropodium sp. and Lomandra densiflora",FALSE
"550","SATFLB0014-53702","SATFLB0014",53702,NA,"SAT 000746","SAT 000751",NA,"SAT 000791","SAT 000775","SAT 000769",NA,NA,NA,"Eucalyptus odorata mid open Mallee forest with Eucalyptus goniocalyx subsp. goniocalyx. Dense mixed mid-stratum dominated by Xanthorrhoea quadrangulata with Allocasuarina verticillata and Exocarpos cupressiformis. Very sparse ground stratum",FALSE
"551","QDAGUP0012-53525","QDAGUP0012",53525,"Eucalyptus pruinosa has fruited and mostly shed seed. No fruit on Carissa lanceolata. Perennial grasses mostly dry- very little green vegetation within site.",NA,NA,NA,"QDA  006221",NA,NA,"QDA  006243","QDA  006233","QDA  006213","Eucalyptus pruinosa mid sparse Mallee woodland with tussock grass understratum dominated by Eulalia aurea and Cenchrus ciliaris.",FALSE
"552","WAAPIL0022-58035","WAAPIL0022",58035,"NC","WAA010390","None","None","WAA010402","WAA010418",NA,"WAA010354",NA,NA,"Eucalyptus victrix low woodland. Mid stratum is a mid open shrubland dominated by Gossypium robinsonii and Petalostylis labicheoides.  Ground stratum is a low open hummock grassland dominated by Triodia angusta with scattered Triodia epactia.",FALSE
"553","QDACYP0005-58589","QDACYP0005",58589,"NC","QDA015407","QDA015269","QDA015249","QDA015407","QDA015269","None","QDA015363","QDA015377","QDA015279","Eucalyptus tetrodonta low woodland with Corymbia clarksoniana and scattered Denhamia oleaster. Mid canopy is regenerating Eucalyptus tetrodonta and a few Corymbia clarksoniana. A dense diverse ground layer is dominated by Ectrosia sp. , Schizachyrium sp. and Thaumastochloa major with Bulbostylis barbata, Panicum seminudum var. seminudum and Eriachne stipacea",FALSE
"554","QDACYP0001-58585","QDACYP0001",58585,"NC","None","None","None","QDA012109","QDA012107","None","QDA012097","QDA012083","None","Thryptomene oligandra, Leucopogon ruscifolius, Neofabricia myrtifolia,  Jacksonia thesioides diverse low heathland. Sparse mixed ground stratum of Trachystylis stradbrokensis, Arthrostylis aphylla and other forbs.",FALSE
"555","NSAMDD0032-58573","NSAMDD0032",58573,"Dry with no vegetation response. Casuarina pauper have shed pods. Not fruit on Alectryon and Geijera. Sclerolaena have residual seed but are still green. Some Einadia and Atriplex stipitata  fruiting","NSA014108","NSA014136","NSA014120","-1","-1","-1","NSA014128","NSA014100","-1","Casuarina pauper mid  woodland ( 16-20m) with Geijera parviflora and Alectryon oleifolius. No mid layer - scattered Apophyllum anomalum  Eremophila sturtii, Eremophila mitchellii, Eremophila glabra subsp. glabra but minimal cover. Ground layer is dominated by Sclerolaena diacantha and Atriplex stipitata with Einadia nutans under trees.",FALSE
"556","SATFLB0020-58648","SATFLB0020",58648,"NC","SAT007013","None","None","SAT007033","SAT007047","None","SAT006443","SAT007051","None","Eucalyptus socialis low open mallee woodland with scattered Myoporum platycarpum subsp. platycarpum, Acacia oswaldii and Alectryon oleifolius subsp. canescens. Very dry ground layer, almost entirely dried out but dominated by Sclerolaena obliquicuspis some Triodia sp. ( most likely T. scariosa) at northern end.



",FALSE
"557","SATFLB0020-53551","SATFLB0020",53551,"Eucalyptus socialis has young fruit but site mostly dry. ","SAT  001387","SAT  001395","SAT  001387","","","","SAT  001353","","","Eucalyptus socialis subsp. socialis mid mallee woodland with Myoporum platycarpum subsp. platycarpum and Amyema miquelii on most trees. Sparse ground stratum of Triodia scariosa",FALSE
"558","QDACYP0003-58587","QDACYP0003",58587,"NC","QDA015001","QDA012149","None","QDA012179","QDA012181","QDA012183","QDA012157","QDA012155","None","Jacksonia thesioides low heathland with a diverse mix of heath shrub including Neofabricia myrtifolia, Labichea buettneriana and Grevillea pteridifolia in a dune swale.  Triodia microstachya dominates in the ground layer",TRUE
"559","SATFLB0018-58650","SATFLB0018",58650,"NC","SAT006567","None","None","SAT006611","SAT006555","SAT006601","SAT006565","None","None","Triodia sp. ( Most likely T. irritans) low open hummock grassland with scattered Codonocarpus pyramidalis, a couple of isolated Eucalyptus intertexta and a couple of Xanthorrhoea quadrangulata and some Eucalyptus socialis intergrade Eucalyptus gillii along eastern edge.",FALSE
"560","SATFLB0018-53549","SATFLB0018",53549,"Triodia have young fruit that hasn’t shed. Indigofera and Acacias flowering throughout the site. Eucalyptus (Mallee) flowering, Eucalyptus intertexta has young fruit as does Codonocarpus, forbs also flowering. ","","","","","","","SAT  001169","SAT  001137","","Triodia irritans low hummock grassland with emergent Codonocarpus and some scattered Eucalyptus intertexta and isolated Eucalyptus flindersii.",FALSE
"561","QDABBN0001-58730","QDABBN0001",58730,"NC","QDA024695","QDA024688","QDA024675","QDA024651","QDA024637","QDA024631","QDA024657","QDA024639","QDA024627","Acacia shirleyi woodland with scattered Eucalyptus spp. Mid-storey of Erythroxylum australe, Psydrax forsteri and Alstonia constricta. Ground-storey of Cheilanthes sieberi, Ancistrachne uncinulata and Aristida spp..",FALSE
"562","QDAGUP0013-53532","QDAGUP0013",53532,"","","","","","","","QDA  006287","QDA  006309","QDA  006305","Astrebla elymoides low open tussock grassland with Astrebla squarrosa and Aristida latifolia tussock grassland and isolated emergent Atalaya hemiglauca and Vachellia farnesiana. ",FALSE
"563","NTAPCK2013-58939","NTAPCK2013",58939,"NC","NTA029023","NTA028972","NTA028989","NTA029023","NTA028972",NA,"NTA029043","NTA028977","NTA029067","Corymbia sp. mid wooodland with Eucalyptus tetrodonta and Xanthostemon paradoxus. Significant cover to the vines Ampelocissus acetosa and Galactia tenuiflora. A mid storey dominated by juveline Eucalyptus and Corymbia species. A ground storey dominated by Sorghum intrans with Heteropogon triticeus, Themeda triandra and Petalostigma quadriloculare",FALSE
"564","NSACHC0001-58574","NSACHC0001",58574,"NC","-1","-1","-1","NSA014591","NSA014599","None","NSA014557","NSA014565","None","Senna phyllodinea low sparse shrubland with scattered Acacia tetragonophylla and other isolated shrubs.  Sclerolaena cuneata, Tripogonella loliiformis and Fimbristylis dichotoma  in the a very sparse ground layer.
 
",FALSE
"565","SATFLB0002-58675","SATFLB0002",58675,"NC","SAT008108","SAT008096","None","SAT008028","SAT008076","SAT008094","SAT008102","SAT008082","None","Eucalyptus obliqua woodland with Callitris rhomboidea. Mid-storey of Xanthorrhoea semiplana, Acacia paradoxa, Astroloma conostephioides and Acacia pycnantha. Ground layer of Gonocarpus elatus, Chamaescilla austrotenuifolia.",FALSE
"566","SATFLB0002-53703","SATFLB0002",53703,"Eucalyptus obliqua all have buds about to flower. Acacia pycnantha flowering throughout. Astroloma conostephioides flowering throughout . Xanthorrhoea semiplana subsp. semiplana old heads. Forbs flowering- Drosera peltata . Acacia paradoxa  about to flower.","SAT 000057",NA,NA,"SAT 000080","SAT 000055","SAT 000077","SAT 000073",NA,NA,"Eucalyptus obliqua low woodland. A dense mid stratum dominated by Xanthorrhoea semiplana subsp. semiplana with Acacia paradoxa and Astroloma conostephioides. Ground stratum dominated by Chamaescilla corymbosa var. corymbosa",FALSE
"567","SAAFLB0031-58616","SAAFLB0031",58616,"NC","None","None","None","SAA007013","SAA007147","None","SAA007023","SAA007283","SAA007011","Sclerolaena ventricosa/ Atriplex vesicaria  low sparse chenopod shrub land with scattered Rhagodia spinescens, Maireana astrotricha, Enneapogon avenaceous and Enteropogon acicularis and an emergent Acacia tetragonophylla and Acacia victoriae.",FALSE
"568","SAAFLB0031-57076","SAAFLB0031",57076,"NC","-1","-1","-1","-1","-1","-1","BS 720034","BS 720036","BS 720040","Sclerolaena ventricosa / Atriplex vesicaria low sparse chenopod shrubland to Calotis hispidula low sparse forbland.",FALSE
"569","SAAFLB0031-53507","SAAFLB0031",53507,NA,NA,NA,NA,NA,NA,NA,"SAA  003187","SAA  003091","SAA  003127","Sclerolaena ventricosa / Atriplex vesicaria low sparse chenopod shrubland to Calotis hispidula low sparse forbland. ",FALSE
"570","SATSTP0001-58652","SATSTP0001",58652,"NC","None","None","None","None","None","None","SAT006859","SAT006865","SAT006875","Astrebla pectinata grassland with scattered Sclerolaena species.",FALSE
"571","SATSTP0001-53557","SATSTP0001",53557,"Some recent rain with response in vegetation. Astrebla and Enneapogon have young fruit. Goodenias flowering, Sclerolaena and tussock grasses fruiting and flowering.","","","","","","","SAT  001516","SAT  001502","SAT  001508","Astrebla pectinata low open tussock grassland with Enneapogon avenaceus. Scattered Sclerolaena spp. also in ground stratum.",FALSE
"572","QDACYP0006-58591","QDACYP0006",58591,"NC","QDA015653","QDA015341","QDA015666","QDA015293","QDA015307","QDA015335","QDA015601","QDA015577","QDA015593","Eucalyptus megasepala mid woodland with some scattered Corymbia stockeri and Erythrophleum chlorostachys. Mid layer is sparse there are some younger Erythrophleum chlorostachys and Eucalyptus megasepala as well as some Brachychiton vitifolius and a few Melaleuca viridiflora. The ground layer is dominated by Schizachyrium perplexum with Sarga sp., Mnesithea formosa and other grasses

 

",FALSE
"573","VCAAUA0003-58567","VCAAUA0003",58567,"NC","None","None","None","-1","-1","-1","VCA005239","VCA005253","VCA005247","Sphagnum cristatum low closed bryophyteland with Empodisma minus, Richea continentis, Astelia alpina and Epacris paludosa.",FALSE
"574","SAAFLB0008-58621","SAAFLB0008",58621,"NC","SAA007677","None","None","SAA007693","SAA007663","SAA007627","SAA007667","SAA007651","SAA007703","Casuarina pauper low open woodland to tall sparse shrubland with a sparse mid-storey of scattered  Santalum acuminatum, Acacia oswaldii and Alectryon oleifolius around the South East corner. The very sparse ground stratum is dominated by Chenopods-  Enchylaena tomentosa, Maireana pyramidata with Roepera confluens and scattered Sclerolaena spp.",FALSE
"575","WAAYAL0008-58814","WAAYAL0008",58814,"NC","WAA022122","None","None","WAA022086","WAA022084","WAA022090","WAA022082","WAA022072","WAA022094","Acacia ramulosa var. ramulosa / Acacia assimilis subsp. assimilis mid shrubland with   Acacia tetragonophylla and some emergent Grevillea nematophylla subsp. supraplana The lower mid-layer is dominated by Eremophila clarkei.  The ground stratum is diverse mix of forbs dominated by Podolepis lessonii and Feldstonia nitens",TRUE
"576","NSACHC0003-58575","NSACHC0003",58575,"NC","NSA014623","None","None","NSA014617","NSA014631","None","None","None","None","Eucalyptus coolabah low open woodland with Chenopodium auricomum and isolated Duma florulenta. Minimal ground cover- has mostly been eaten out.

 

",FALSE
"577","QDACYP0023-58608","QDACYP0023",58608,"NC","QDA022509","QDA022469","None","QDA022461","QDA022555","QDA022487","QDA022441","QDA022481","QDA022583","Eucalyptus tetrodonta mid woodland with Erythrophleum chlorostachys and Corymbia nesophila a Mid story dominated by Planchonia careya with Acacia rothii, Erythrophleum chlorostachys and Parinari nonda Ground layer is dominated by Heteropogon triticeus and Sarga sp. with Eulalia mackinlayi, Sehima nervosum and other grasses.",FALSE
"578","WAGCOO0004-53615","WAGCOO0004",53615,"","","","","WAA 003042","WAA 003007","","WAA 003024","WAA 003149","WAA 003005","Maireana sedifolia low open chenopod shrubland with Maireana pyramidata. A ground stratum of tussock grasses and smaller chenopods dominated by Enneapogon caerulescens, Austrostipa nitida and Sclerolaena diacantha.",FALSE
"579","NTAARP0005-58919","NTAARP0005",58919,"Climate is dry. Vegetation is dry. Annual grasses and Triodia bitextura have finished dropping seeds (some Triodia with seed). Petalostigma quadriloculare is fruiting. Boronia lanuginosa flowering, a few Grevillea goodii are flowering.","NTA027348","NTA027356","NTA027358","NTA027346","NTA027416","NTA027348","NTA027350","NTA027408","NTA027376","Eucalyptus miniata and Eucalyptus tetrodonta mixed mid woodland (5-14m) with isolated Corymbia porrecta. Mid storey (2-5m) of Acacia mimula with recruiting Eucalypts and Erythrophleum. Ground storey (<1.2m) dominated by Triodia bitextura with Microstachys chamaelea and Petalostigma quadriloculare. ",FALSE
